epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.969,1.19997,1.70901,1.53837,0.05201,0.41093,0.04939,0.0204,2.39798,40.584,3.01264,0.000548633,0.000548633,0.000548633
2,388.063,1.42452,1.73797,1.68136,0.35788,0.36265,0.28785,0.13368,2.18101,9.76755,2.59758,0.00110403,0.00110403,0.00110403
3,598.344,1.51238,1.79328,1.74321,0.0622,0.10599,0.01846,0.0053,2.84478,14.6515,3.53411,0.00165834,0.00165834,0.00165834
4,809.448,1.42372,1.7121,1.67591,0.06312,0.08962,0.03146,0.01339,2.05233,7.04703,2.45605,0.00166334,0.00166334,0.00166334
5,1019.2,1.39207,1.62926,1.64722,0.17826,0.25444,0.10743,0.05654,2.13963,13.3674,2.53019,0.00166049,0.00166049,0.00166049
6,1250.94,1.35281,1.63126,1.63465,0.58568,0.21421,0.25112,0.17115,1.69967,7.63539,2.02526,0.00165684,0.00165684,0.00165684
7,1475.97,1.32409,1.5294,1.59529,0.39692,0.2955,0.25124,0.18407,1.50211,2.38588,1.86811,0.00165238,0.00165238,0.00165238
8,1697.38,1.27012,1.48358,1.56998,0.25151,0.31909,0.20405,0.13043,1.50898,2.43242,1.93964,0.00164713,0.00164713,0.00164713
9,1942.92,1.2075,1.39442,1.50832,0.46892,0.37098,0.35575,0.23355,1.3618,1.95341,1.67652,0.00164108,0.00164108,0.00164108
10,2177.31,1.18362,1.3298,1.48366,0.50221,0.36737,0.3446,0.25621,1.33097,2.42228,1.69698,0.00163424,0.00163424,0.00163424
11,2430.21,1.20926,1.37241,1.517,0.66912,0.3075,0.32171,0.25741,1.18672,1.83654,1.55553,0.00162661,0.00162661,0.00162661
12,2677.01,1.17435,1.30702,1.48132,0.60782,0.3485,0.36973,0.28408,1.1552,1.74694,1.54683,0.00161822,0.00161822,0.00161822
13,2931.58,1.13156,1.27719,1.44565,0.68447,0.35013,0.39211,0.27874,1.25202,1.43144,1.71,0.00160905,0.00160905,0.00160905
14,3198.32,1.15091,1.31031,1.467,0.69332,0.31437,0.35243,0.28024,1.1925,1.4379,1.57089,0.00159913,0.00159913,0.00159913
