epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.71568,1.17193,1.982,1.7087,0.88644,0.55,0.7363,0.54349,0.88553,1.22034,1.54981,3.334e-05,3.334e-05,3.334e-05
2,13.0018,1.05416,1.97979,1.63681,0.89178,0.55,0.73185,0.53639,0.86208,1.20806,1.50349,8.3124e-05,8.3124e-05,8.3124e-05
3,18.1018,1.09383,1.75112,1.5949,0.93676,0.55,0.73263,0.53552,0.83968,1.17738,1.47461,0.000131917,0.000131917,0.000131917
4,23.2606,1.06955,1.97132,1.57023,0.94283,0.54975,0.74467,0.54721,0.80574,1.08411,1.42387,0.000178927,0.000178927,0.000178927
5,28.2959,1.38318,2.04935,1.89465,0.89187,0.5499,0.77315,0.57465,0.80318,0.99398,1.40427,0.000223393,0.000223393,0.000223393
6,33.4652,1.00739,1.45977,1.53773,0.72637,0.70796,0.7886,0.58665,0.83425,0.90871,1.3988,0.000264596,0.000264596,0.000264596
7,38.5163,1.02703,1.68984,1.46848,0.73417,0.73333,0.79177,0.59889,0.84003,0.83765,1.39294,0.000301882,0.000301882,0.000301882
8,43.7135,0.89425,1.29699,1.37828,0.78512,0.73079,0.80454,0.61637,0.84374,0.73489,1.37001,0.000334662,0.000334662,0.000334662
9,48.8729,0.8818,1.33992,1.38224,0.79608,0.73333,0.80929,0.61544,0.84967,0.71166,1.35878,0.000362434,0.000362434,0.000362434
10,54.114,0.97028,1.25558,1.46768,0.82896,0.76667,0.81841,0.61558,0.85862,0.67819,1.34317,0.000384788,0.000384788,0.000384788
11,59.3701,0.87956,1.27187,1.36249,0.82888,0.80738,0.82363,0.62454,0.85555,0.67978,1.33256,0.000401414,0.000401414,0.000401414
12,64.5825,0.94853,1.19496,1.44398,0.85506,0.78663,0.82268,0.63292,0.81956,0.68537,1.29298,0.000412111,0.000412111,0.000412111
13,69.6644,0.90034,1.15703,1.40562,0.84295,0.80517,0.82332,0.63169,0.79884,0.68649,1.27051,0.000416794,0.000416794,0.000416794
14,74.9126,0.80183,1.14687,1.3153,0.83246,0.83333,0.82922,0.64489,0.74588,0.70631,1.24609,0.000415493,0.000415493,0.000415493
15,80.3563,0.91561,1.29199,1.37552,0.83018,0.78333,0.83141,0.64686,0.73715,0.7159,1.2428,0.000408359,0.000408359,0.000408359
16,86.2468,0.87809,1.13415,1.36035,0.88293,0.78333,0.82588,0.64262,0.72979,0.73105,1.2387,0.000395662,0.000395662,0.000395662
17,92.1187,0.8306,1.16736,1.39295,0.88906,0.78333,0.82219,0.64144,0.72807,0.73532,1.23679,0.000377791,0.000377791,0.000377791
18,97.7051,0.87107,1.15728,1.38696,0.87417,0.78333,0.82329,0.64513,0.72307,0.73743,1.23511,0.000355245,0.000355245,0.000355245
19,103.187,0.76032,1.14104,1.27776,0.87029,0.78333,0.81994,0.63607,0.73241,0.73582,1.24915,0.000328633,0.000328633,0.000328633
20,108.494,0.80805,1.11089,1.34251,0.87509,0.76667,0.81978,0.63743,0.73637,0.7305,1.25486,0.000298664,0.000298664,0.000298664
21,114.193,0.813,1.04332,1.37687,0.87244,0.76667,0.81672,0.62739,0.74457,0.72455,1.26102,0.000266137,0.000266137,0.000266137
22,119.737,0.82144,1.0334,1.3922,0.84908,0.78333,0.81538,0.61933,0.74266,0.71818,1.2543,0.00023193,0.00023193,0.00023193
23,124.974,0.86698,1.02666,1.42353,0.85308,0.78333,0.81273,0.61864,0.74399,0.71397,1.25452,0.00019699,0.00019699,0.00019699
24,129.836,0.7476,0.94781,1.34008,0.85308,0.78333,0.81273,0.61864,0.74399,0.71397,1.25452,0.000162319,0.000162319,0.000162319
25,134.885,0.74744,0.97379,1.32752,0.8541,0.78059,0.81012,0.6234,0.74397,0.72732,1.25668,0.000128954,0.000128954,0.000128954
